full_text,translated,klasifikasi,prediksi,sentiment
oalah kirain cm aku ngrasa gini pantes kok aneh banget awalnya dikit banget brita ttg demoruu tni trs abis twit eror aneh bener wkwkwk sengaja diilangin,"oalah, I think I feel like this, how come it's really weird, initially a little bit of the TNI Demoruu, then after the error twit",Negatif,Negatif,TextBlob analysis used
mendukung ruu tni lho mungkin udah kebagian bansos lebaran di bbrp daerah,"Supports the TNI Bill, you know, maybe you have already gotten the Eid Social Assistance in the Regional BBRP",Positif,Positif,TextBlob analysis used
si masi banyak cuma alagioritma coba banyakin like repost reply engagement aja intinya bahkan akunku aja cuma bookmark alagioritma isi ruu tni kesini terus,the still a lot of it is just alagoritma try a lot like repost reply engagement.,Netral,Netral,TextBlob analysis used
bener tadi sempet ga postingan mengenai ruu tni,"Really, I didn't post about the TNI Bill",Positif,Positif,TextBlob analysis used
lu kaga malunya tp gue malu,You are shy but shy,Negatif,Negatif,TextBlob analysis used
defakk diem dulu bsgk gue salting mampus,"Defakk Diek first, I can salt it dead",Positif,Positif,TextBlob analysis used
sorry yeeee maafkan diri bila setransparan pembuatan ruu tni banyak salah pendirian danantara acap berkata kasar mengucapkan ndasmu teriring salam kehangatan dapat memenuhi raga makan bergizi gratis selamat hari idul fitri h,"Sorry yeeee forgive yourself if the Setransparent Making TNI Bill has many wrong establishments and between often say rude to say your ndas with the warmth of the warmth of being able to fulfill the FREE MEASURE MEALTHING, Happy Eid Al -Fitr Day h",Positif,Negatif,TextBlob analysis used
mana paham tuh ruu tni ngomong gini disuap bansos tentunya,"Where do you understand the TNI Bill talking like this, Social Affairs, of course",Positif,Positif,TextBlob analysis used
mending kak antek asing aku debat malah dikatain keturunan pki soalnya ga dukung ruu tni,"Better, sis, I debate, I debated, even said by the PKI descent, because I didn't support the TNI Bill",Positif,Positif,TextBlob analysis used
iya sama aku gitu akun ku kunci pas rame rame nya tntang ruu tni trs pas masuk hilang semua berulang terus sudah kali kunci,"yes with me so my account locks when it is crowded with the TNI Bill, when I enter it, it is lost, all the time is lock",Netral,Netral,TextBlob analysis used
gw gabisa misuh gw seketika takut tuhan yme,"I can't, I immediately afraid of God Almighty",Negatif,Negatif,TextBlob analysis used
gw allahuakbar allahuakbar dibonceng sm fufufafajaya,Gw Allahuakbar Allahuakbar SM FUFUFAFAJAYA,Netral,Netral,TextBlob analysis used
tasikmalaya udah demo amp dihadang sama polisi dulu akhirnya ketemu ketua dprd kota tasikmalaya namanya aslimpartai gerindaria hasil ditolak gagasan demonstran amp responnya apa aslim kan kewenangan pusatpersetujuan ruu tni no idea banget jawab pusat,"Tasikmalaya already demonstrated the AMP was intercepted by the police, finally met the Chairman of the Tasikmalaya City DPRD, his name was ASLIMPARTIA GERINDI AODA BEEN RECOMMENCE DEMONSTRANCE AMP AMP DOK ASLIM ASLIM AREA",Netral,Netral,TextBlob analysis used
banyak ya massa aksi turun jalan buat dukung ruu tni berbicara nada lembut senyum pemaaf,a lot of the mass of the action down the way to support the TNI Bill to speak the soft tone of forgiveness smile,Positif,Positif,TextBlob analysis used
kalo habisin opm bantai hancurkan ham sisihkan sbntr bukannya jadi nyalain masyrakat kontra ruu tni,"If you finish the OPM, slaughtering human rights set aside sbntr instead of turning on the community against the TNI Bill",Netral,Netral,TextBlob analysis used
gue yakin gapaham ruu tni ntah dibayar dikasi sembako lebih mudah dijalankan ngasi pengetahuansosialisasi berapa bahayanya ruu tni ini alias main kotor ekploitasi rakyat kecil disgusting,"I am sure that the TNI Bill is not paid, it is paid for the basic food, it is easier to carry out the knowledge of the socialization of the dangers",Positif,Positif,TextBlob analysis used
kekuatan tni simbol persatuan bangsa dukung ruu tni memperkuat pertahanan keamanan negara,TNI Strength The symbol of national unity supports the TNI Bill to strengthen the defense of state security,Netral,Netral,TextBlob analysis used
ruu tni langkah besar memperkokoh rasa cinta tanah air dukung bersama indonesia lebih aman kuat,TNI Bill The Big Step to Strengthen the Love of the Motherland Supports with Indonesia is Safer,Positif,Positif,TextBlob analysis used
ruu tni simbol kekuatan bangsa mendukungnya ikut menjaga perdamaian kedaulatan negara,TNI Bill The symbol of the nation's power to support him helped maintain the peace of the country's sovereignty,Netral,Netral,TextBlob analysis used
dukung ruu tni memperkuat rasa cinta tanah air kebanggaan nasional bersama menjaga keamanan kedaulatan indonesia,Support the TNI Bill to strengthen the love of the national pride of the motherland together to maintain the security of Indonesia's sovereignty,Positif,Positif,TextBlob analysis used
gambar ulang jadi rame intel mungkin sindir uu tni amp ruu polri kontroversial uu tni maret izinin militer masuk instansi sipil ditakutin bawa demokrasi mundur ruu polri kasih polisi kuasa lebih pengawasan picu penyalahgunaan ilmu kanuragan,"Re -drawing becomes Intel Rame, maybe the teasing of the TNI Law AMP Controversial National Police Chief March March Permission to enter the Civil Agency to Bring Democracy to withdraw the National Police Bill, the Power of Power of Attorney, Power of Attorney's Supervision",Positif,Positif,TextBlob analysis used
akun rekomendasi hastag tolak ruu tni menghilang di tren yang masuk peringkat menghilang adakah solusi,"Hastag Recommendation Account Rejects the TNI Bill disappear in the ranking trends disappear, is there a solution",Netral,Netral,TextBlob analysis used
indonesia gelap men feeling gue apapun terjadi myanmar sangat sangat terjadi indonesia sejak pengesahan ruu tni kemarin idk how much impact i can give but ill try to share and speak up about myanmar too,Indonesia Dark Men Feeling I Whatever happens Myanmar has happened to Indonesia since the ratification of the TNI Bill yesterday Idk how much impact I can give but Ill try to share and speak up about myanmar too,Negatif,Negatif,TextBlob analysis used
satusatunya cara uu tni ruu polri diterima ada aturan pendukung transparansi proses appointment aparat suatu posisi pertama mustahil kedua kalo ada malah aparat soalnya banyak tidak kompeten,"The only way the TNI Law Bill the National Police Bill is accepted there are rules for supporting the transparency of the appointment process of an apparatus, a first position is impossible for the second if there are even the officials because there are many incompetent",Negatif,Negatif,TextBlob analysis used
saking hina nya ruu tni orangorang dukung demi nasi bungkus udah gitu divideokan terus diupload sosmed sungguh bodoh kelewat batas,I was so despicable that the TNI Bill people supported for the sake of the packaged rice.,Netral,Netral,TextBlob analysis used
gabisa tidur ovt soal ruu tni padahal dipikir pikir sipil aja selama juga banyak belum sejahtera eh skrg malah diambil kalo memang tujuannya utk mensejahterakan tni ga tetap ruang lingkupnya aja harus mengambil porsi lain,"I can't sleep OVT about the TNI Bill, even though I think that civilians just think that as long as many are not yet prosperous, but now it is taken if the goal is to prosper the TNI, it does not remain in the scope, it must take another portion",Positif,Positif,TextBlob analysis used
lah kok salahin demo salahin mensahkan ruu tni kalauu disahkan yang paling ketakutan orng papua jaman dulu sdh perna dwifungsi abri dilaksanakan terjadi pembantaian wamena berdarah biak berdarah menjadi troma tersendiri mereka,"Why do you blame the demonstration to Write the TNI Bill if the most fearful of the old Papua, the ABRI dwifunction, the massacre of the bumpy biak is their own troma.",Positif,Positif,TextBlob analysis used
gw sedih banget line karena literally what i felt everytime i saw the death tolls in gaza what i also felt pas bc berita suruh ttd ruu tni in exchange of bansos,gw sedih banget line karena literally what i felt everytime i saw the death tolls in gaza what i also felt pas bc berita suruh ttd ruu tni in exchange of bansos,Netral,Netral,TextBlob analysis used
nah yang kritik rezim eh sekarang malah mau berlindung ruu tni ruu polri,"well, the criticism of the regime eh now even want to take shelter",Netral,Netral,TextBlob analysis used
tetap lanjutkan agendanya ngad adili mulyono tolak ruu tni fokus perampasan aset milik puan milik mulyono selidiki ijazah mulyono selidiki rektor ugm yang keukeuh ijazah mulyono,Continue to continue the agenda of Ngad Adili Mulyono Rejecting the TNI Bill Focusing on the Division of Assets belonging to Mulyono Investigating the Mulyono Diploma Investigates the Rector of UGM who is a diploma Mulyono,Netral,Netral,TextBlob analysis used
lu tau apa soal kehidupan gua kehidupan gua ada sangkut pautnya soal ruu tni gua pikir masa depan adik gua orang kedepannya jikalau masuk pns malah atasan tidak kompetan bidangnya akhirnya membuat semua jadi dirugikan,"You know what about my life, my life has something to do about the TNI Bill, I think the future of my sister in the future, if you enter a civil servant, instead the boss is not compounded by the field, it finally makes everything become disadvantaged",Netral,Netral,TextBlob analysis used
fuckkkk lagu gw gatekeep,fuckkkk my song gatekeep,Netral,Netral,TextBlob analysis used
postingan ruu tni juga ilang tl gua,TNI Bill posts are also gone,Netral,Netral,TextBlob analysis used
pendukung militan ruu tni harga mati,supporters of militants of the TNI Bill on Dead Price,Negatif,Negatif,TextBlob analysis used
gasken kak habis lebaran pakai bansos ruu tni bensin biar semakin semangat buat silaturahmi,Gasken Kak after Eid uses the Gasoline TNI Bill Bill so that it will be more enthusiastic for friendship,Positif,Positif,TextBlob analysis used
anjing nih pemerintah kentot sumpah bete gua buka tiktok isinya mana orang bayaran buat setuju ruu tni,Anjing nih ruler ketot oath bet bet betuta cave opened the mana mana people pay the butang agree ruu yesterday,Netral,Netral,TextBlob analysis used
sorry yeeee maafkan diri bila setransparan pembuatan ruu tni banyak salah pendirian danantara acap berkata kasar mengucapkan ndasmuu teriring salam kehangatan dapat memenuhi raga makan bergizi gratis cont,Sorry yeeee forgive yourself if the transparent of making the TNI Bill has many wrong establishments and is often harshly saying ndasmuu with greetings of warmth can meet the raga of the free nutritional dining cont,Negatif,Negatif,TextBlob analysis used
gw yakin orang gtau isi ruu tni apa dia mana paham maksudnya ruu dia taunya dibayar aja aksi,"I'm sure people don't fill in the TNI Bill, what he understands what he means, he knows he is paid for the action",Positif,Positif,TextBlob analysis used
keliatan banget orang sana panik x tetep vokal sama ruu tni habis x error tl langsung bersih ginian tetep vokal gaes,it looks really like people panicked x still vocal with the TNI Bill run out x error tl immediately clean ginian still vocal gaes,Positif,Positif,TextBlob analysis used
ruu tni ai dkv its parjo lebaran semakin rame aja sepertik timeline twitter,TNI Bill AI DKV ITS Parjo Eid is even more crowded like the Twitter timeline,Positif,Positif,TextBlob analysis used
gaes kok postingan ruu tni udah ilang dari tl gw kalian gitu ga,"how come the post of the TNI Bill has lost from my TL, or not",Netral,Netral,TextBlob analysis used
unfoll gue dia voters setuju ruu tni,Unfoll I voters agreed to the TNI Bill,Netral,Netral,TextBlob analysis used
adanya ruu tni mungkin gk scr langsung mengembalikan dwifungsi abri tp membuka pintu tau sendiri pejabat kalauo kerja bkn ga mungkin bbrp bulan dwifungsi abri terjadi kita ke orba semuanya,The existence of the TNI Bill may not immediately return the dwifunction of the ABRI but open the door to know the officials if the work is not possible for a few months of the ABRI Dwifunction.,Negatif,Negatif,TextBlob analysis used
era jokowi uu mengatur bisa diisi militer posisi naik jd stelah ruu tni ingat diisi tni aktif jd kalau sdh pensiun boleh isi mana aja tp sekompeten apasih orang militer yang mengisi posisi sipil kalauo becus si oke kalauo ngga,"The Jokowi Era of the Law regulates the military can be filled in the position of the position to rise after the TNI Bill, remember that it is filled with active TNI, if you retire, you can fill it, but what is the same as the military people who fill the civil position if you are okay if not if it is not",Positif,Positif,TextBlob analysis used
ruu tni dihentikan militerisme militerisasi hal berbeda tp saling bersinggungan mempengaruhi militerisme biasanya muncul militerisasi walaupun tdk menutup kemungkinan bs sebaliknya,The TNI Bill is stopped by militarism of different things but intersecting each other to influence militarism usually emerges militarization even though it does not rule out the possibility of BS on the contrary,Negatif,Negatif,TextBlob analysis used
eh kok ilang kok tl gue ga ruu tni ini trending nya kok ga jir,eh kok lost kok tl gue ga ruu tni this trending is kok ga jir,Netral,Netral,TextBlob analysis used
aneh banget tl w gaada ruu tni cok gua aja ada main inih,"It's really strange that I don't have the TNI Cok Bill, I have played this",Negatif,Negatif,TextBlob analysis used
woi postingan tolak ruu tni ilang tl,"Wow, posting TNI TNI Draft Draft Tl",Positif,Netral,TextBlob analysis used
sosial media disetir sama pemerintah aku ga liat tweet tolak ruu tni daritadi jir,Social media was driven by the government I didn't see the Tweet Reject the TNI Daritadi Bill,Positif,Positif,TextBlob analysis used
dilarang demonstrasi pendemo ngga ngerti apa mereka suarakan kata mereka demo terprovokasi ikutikutan kalo mau membantah bantah tuh pernyataan bahwa ruu tni akan mtidaknggu supremasi sipil gua nyimak kalian aja,Demonstration demonstrations do not understand whether they say they say they are provoked by the demo to follow the following if they want to argue with the statement that the TNI Bill will not be a civilian supremacy.,Netral,Netral,TextBlob analysis used
nyambung sama konteks bro hubungan sama ruu tni apa sadar gk lu kemaren dibabat koruptor sadar gk rezim siapa berani membuka kasus korup terbesar jaman jebot semua tunggu aja abis bulan puasa ini semakin banyak ditangkap,"Connecting the same context bro, the relationship with the TNI Bill is aware that you are not cleared by corruptors, aware that the regime is the dare to open the biggest corrupt cases, all of them are just waiting after the fasting month is increasingly captured",Netral,Netral,TextBlob analysis used
ruu tni akan mengembalikan dwifungsi abri,The TNI Bill will return the ABRI dwifunction,Netral,Netral,TextBlob analysis used
dukung ruu tni,Support the TNI Bill,Netral,Positif,TextBlob analysis used
ruu tni udah sah kalo memang harusnya gw tetep sama jadi manusia insting bertahan hidup walaupun negara sakit,The TNI Bill is legitimate if I should still be the same as being a human being to survive even though the country is sick,Negatif,Negatif,TextBlob analysis used
emang tau isi ruu tni,hap know the contents of the tni,Netral,Netral,TextBlob analysis used
bjir hesteknya ngalah ngalahin ruu tni makasssiiiiii pacarku paling cantik bohaaaay,"Bjir, the hestek defeated the TNI Bill Makassiiiiiii, my boyfriend was the most beautiful bohaaaay",Positif,Positif,TextBlob analysis used
emang rame banget kalo soal ruu tni,it's really crowded when it comes to the TNI Bill,Positif,Positif,TextBlob analysis used
pak pak prabowo emang keren utk melemahkan uu parcok di bentuk mukidi pak prabowo merumuskan ruu tni lebih baik negri di jaga tni polri,Mr. Pak Prabowo is really cool to weaken the Parcok Law in the form of Mukidi Pak Prabowo Formulating the TNI Bill Better the Negri Being guarded by the Indonesian National Police,Positif,Positif,TextBlob analysis used
sumpaaaah iya reading slump smenjak ruu tni maren jadi banyakan scroll twit,Consemation Slumping Slum fliengi t evening so many scroll time,Positif,Positif,TextBlob analysis used
yakin dukung ruu tni,confidently support the TNI Bill,Positif,Positif,TextBlob analysis used
merayakan takbiran posterposter masih bertuliskan tolak ruu tni,Celebrating takbiran posterposter still reads the TNI Bill,Netral,Netral,TextBlob analysis used
gws sumpah tl gue ruu tni kependem anjg jorok,gws swear tl gue linger tni kependem,Netral,Netral,TextBlob analysis used
sy beranggapan kmrn persidagan sekjen takut partai mjd pertemuan kader pra retreath kasus pertamina jg mengarah kesna operasi false flag a percepatan pemb ruu tni operasi media medsos masy lupa persidagn sekjen pertamina,I assumed that the Secretary General of the Secretary General of the Secretary General of the MJD Party Meeting of the Pre -Retreath Cadre Meeting the Pertamina case also led,Positif,Positif,TextBlob analysis used
anjinggg isu ruu tni diapus tlll pemerintah bangsaatttt segitunya mau membungkam suara masyarakat,"Anjinggg The issue of the TNI Bill was erased by the Government of the Bangsaatttt, that was like to silence the voice of the community",Netral,Netral,TextBlob analysis used
sekacau gua masi ga paham bokap gue setuju sama ruu tni,I don't know if I don't know how to do it,Netral,Netral,TextBlob analysis used
ruu tni memberikan landasan hukum lebih jelas mengenai peran fungsi tni,The TNI Bill provides a clearer legal basis regarding the role of the function of the TNI,Positif,Positif,TextBlob analysis used
ruu tni akan mengembalikan dwifunsi abri,The TNI Bill will return ABRI dwifunction,Netral,Netral,TextBlob analysis used
ngapain tni ngurusin penolakan ruu merumuskan dpr presiden kok kok tni jengah sejak kapan tni ngurusin demo,"Why did the TNI take care of the rejection of the Draft Bill to formulate the Parliament of the President, how come the TNI was embarrassed since when did the TNI take care of the demonstration",Netral,Netral,TextBlob analysis used
bersama mendukung ruu tni,Together Supports the TNI Bill,Netral,Positif,TextBlob analysis used
lihat video piiolboys tolak ruu tni,see video piiolboys reject the TNI Bill,Netral,Netral,TextBlob analysis used
indo oomf i dont know what happened to my tl but did ruu tni discource is vanished ga anjir bahasannya di tlku,indo oomf i dont know what happened to my tl but did the TNI Discourse Bill is vanished not the discussion on TLKU,Netral,Netral,TextBlob analysis used
kon timbang nggepuki wong demo tolak ruu tni mending sound horeg iku ae pancalen ndase,The minister opens the person to demo to the tourism to sound a sound horeg's ae,Positif,Positif,TextBlob analysis used
nunjukin udah ada kelompok masyarakat mau mendukung ruu tni disahkan setidaknya jangan sedesprate juga lah buat milih orang hadeuh,"show that there are already groups of people who want to support the TNI Bill, at least not sedesprate, for choosing hadeuh people",Negatif,Negatif,TextBlob analysis used
