full_text,username,created_at,tokenized,stemmed,translated,klasifikasi,skor_polaritas
puasa selesai perang melawan ruu tni berlanjut selamat idul fitri semoga semua menjadi bagian pasukan memperjuangkan demokrasi,beni_ristian,Sun Mar 30 23:33:11 +0000 2025,"['puasa', 'selesai', 'perang', 'melawan', 'ruu', 'tni', 'berlanjut', 'selamat', 'idul', 'fitri', 'semoga', 'semua', 'menjadi', 'bagian', 'pasukan', 'memperjuangkan', 'demokrasi']",puasa selesai perang lawan ruu tni lanjut selamat idul fitri moga semua jadi bagi pasu juang demokrasi,"fasting after the war against the TNI Bill continues to be happy Eid al -Fitr, hopefully all will be part of the troops fighting for democracy",Positif,0.8
penasaran pembahasan kondisi negara demo menolak uu tni ruu polri akan jadi topik acara silaturahmi halal bihalal reuni lebaran,RichHealthyFun,Sun Mar 30 23:28:01 +0000 2025,"['penasaran', 'pembahasan', 'kondisi', 'negara', 'demo', 'menolak', 'uu', 'tni', 'ruu', 'polri', 'akan', 'jadi', 'topik', 'acara', 'silaturahmi', 'halal', 'bihalal', 'reuni', 'lebaran']",penasaran bahas kondisi negara demo tolak uu tni ruu polri akan jadi topik acara silaturahmi halal bihalal reuni lebaran,curious about the discussion of the condition of the state demonstration to reject the TNI Law the National Police Bill will be the topic of the Halal Bihalal Halal Reunion Eid,Negatif,-0.1
lucu banget semalem gua ngomongin ruu tni cafe komplek tni di cafenya ada botak wkwkwk,dafuckkk_,Sun Mar 30 23:27:09 +0000 2025,"['lucu', 'banget', 'semalem', 'gua', 'ngomongin', 'ruu', 'tni', 'cafe', 'komplek', 'tni', 'di', 'cafenya', 'ada', 'botak', 'wkwkwk']",lucu banget semalem gua ngomongin ruu tni cafe komplek tni di cafenya ada botak wkwkwk,Very funny last night I talked about the TNI Cafe Bill in the TNI complex in the cafe there was bald,Positif,0.00833333333333334
minal aidin walfaidzin tetap tolak ruu tni,puxxeemmax,Sun Mar 30 23:24:58 +0000 2025,"['minal', 'aidin', 'walfaidzin', 'tetap', 'tolak', 'ruu', 'tni']",mal aidin walfaidzin tetap tolak ruu tni,Minal Aidin Walfaidzin remains rejecting the TNI Bill,Netral,0.0
prinsip sih sbelum wowo ttd statusnya ruu kalauo tih ttd uunya otomatis efektif dlm hari artinya kita dah ganti uu tni kalauo batal balik uu th gimana sih,ImminentAdi5,Sun Mar 30 23:18:48 +0000 2025,"['prinsip', 'sih', 'sbelum', 'wowo', 'ttd', 'statusnya', 'ruu', 'kalauo', 'tih', 'ttd', 'uunya', 'otomatis', 'efektif', 'dlm', 'hari', 'artinya', 'kita', 'dah', 'ganti', 'uu', 'tni', 'kalauo', 'batal', 'balik', 'uu', 'th', 'gimana', 'sih']",prinsip sih sbelum wowo ttd status ruu kalauo tih ttd uunya otomatis efektif dlm hari arti kita dah ganti uu tni kalauo batal balik uu th gimana sih,the principle is before wowo ttd the status of the bill if the TIH is TTD automatically effective in the day means we have changed the TNI Law if it is canceled behind the law,Positif,0.09999999999999998
sorry yeeee maafkan diri bila setransparan pembuatan ruu tni banyak salah pendirian danantara acap berkata kasar mengucapkan ndasmu teriring salam kehangatan dapat memenuhi raga makan bergizi gratis oke,keharyapatihan,Sun Mar 30 23:15:03 +0000 2025,"['sorry', 'yeeee', 'maafkan', 'diri', 'bila', 'setransparan', 'pembuatan', 'ruu', 'tni', 'banyak', 'salah', 'pendirian', 'danantara', 'acap', 'berkata', 'kasar', 'mengucapkan', 'ndasmu', 'teriring', 'salam', 'kehangatan', 'dapat', 'memenuhi', 'raga', 'makan', 'bergizi', 'gratis', 'oke']",sorry yeeee maaf diri bila transparan buat ruu tni banyak salah diri danantara acap kata kasar ucap ndasmu iring salam hangat dapat penuh raga makan gizi gratis oke,Sorry yeeee forgive yourself if the Setransparent Making TNI Bill has many wrong establishments and between often say rude to say your ndas with the warmth of the warmth of being able to fulfill the free nutritional meal okay okay,Positif,0.1375
happy eid alfitr moots ku seputih kapas sesuci hati sebersih embun pagi segala kerendahan hati diterima permintaan maaf sebesar wajan rendang,ayanggsaida,Sun Mar 30 23:12:57 +0000 2025,"['happy', 'eid', 'alfitr', 'moots', 'ku', 'seputih', 'kapas', 'sesuci', 'hati', 'sebersih', 'embun', 'pagi', 'segala', 'kerendahan', 'hati', 'diterima', 'permintaan', 'maaf', 'sebesar', 'wajan', 'rendang']",happy eid alfitr moots ku putih kapas suci hati bersih embun pagi segala rendah hati terima minta maaf besar wajan rendang,Happy Eid Alfitr Moots Ku as white as a cotton cotton Sesi as a clean morning dew all humidity is received by an apology for a rendang pan,Positif,0.3888888888888889
pemerintah mendengarkan suara rakyat tolak uu tni ruu kejaksaan mengkhianati demokrasi eid mubarak minal aidzin mohon maaf lahir bathin doang dana kaget the raid cat,hope_emak,Sun Mar 30 23:12:16 +0000 2025,"['pemerintah', 'mendengarkan', 'suara', 'rakyat', 'tolak', 'uu', 'tni', 'ruu', 'kejaksaan', 'mengkhianati', 'demokrasi', 'eid', 'mubarak', 'minal', 'aidzin', 'mohon', 'maaf', 'lahir', 'bathin', 'doang', 'dana', 'kaget', 'the', 'raid', 'cat']",perintah dengar suara rakyat tolak uu tni ruu jaksa khianat demokrasi eid mubarak mal aidzin mohon maaf lahir bathin doang dana kaget the raid cat,The government listens to the voice of the people to reject the TNI Law the Prosecutors' Bill betrayed Eid Mubarak's democracy Minal Aidzin apologized,Netral,0.0
iyaa salah satu kritik darii pk hendsat menyasar lu omongkn gimana akuntabilitas kedepannya terkait kerugian negara pertamina smpe skarenag isu sdh menurun ditmbh ruu tni,Muhammad_inas21,Sun Mar 30 23:09:10 +0000 2025,"['iyaa', 'salah', 'satu', 'kritik', 'darii', 'pk', 'hendsat', 'menyasar', 'lu', 'omongkn', 'gimana', 'akuntabilitas', 'kedepannya', 'terkait', 'kerugian', 'negara', 'pertamina', 'smpe', 'skarenag', 'isu', 'sdh', 'menurun', 'ditmbh', 'ruu', 'tni']",iyaa salah satu kritik dari pk hendsat sasar lu omongkn gimana akuntabilitas depan kait rugi negara pertamina smpe skarenag isu sdh turun ditmbh ruu tni,"Yes, one of the criticisms from PK Hendsat targets Lu Omongkn how accountability in the future is related to the loss of the state of Pertamina SMPE SKarenag, the issue has declined by the TNI Bill DitMBH",Netral,0.0
bahkann pembuatan ruu tni aja ga transparan samsek temen mu bermuka nder hati hati,nickwontmiss,Sun Mar 30 23:06:51 +0000 2025,"['bahkann', 'pembuatan', 'ruu', 'tni', 'aja', 'ga', 'transparan', 'samsek', 'temen', 'mu', 'bermuka', 'nder', 'hati', 'hati']",bahkann buat ruu tni aja ga transparan samsek temen mu muka nder hati hati,Even the making of the TNI Bill is not transparent Samsek your friend has an face to be careful,Negatif,-0.1
ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni,r_littleofff,Sun Mar 30 23:05:14 +0000 2025,"['ruu', 'tni', 'ruu', 'tni', 'ruu', 'tni', 'ruu', 'tni', 'ruu', 'tni', 'ruu', 'tni', 'ruu', 'tni', 'ruu', 'tni', 'ruu', 'tni', 'ruu', 'tni', 'ruu', 'tni', 'ruu', 'tni']",ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni,TNI Bill TNI Bill TNI Bill TNI Bill TNI Bill Bill TNI Bill TNI Bill TNI Bill Bill,Netral,0.0
selamat hari raya idul fitri guys,anLeeJeno,Sun Mar 30 23:01:17 +0000 2025,"['selamat', 'hari', 'raya', 'idul', 'fitri', 'guys']",selamat hari raya idul fitri guys,Happy Eid al -Fitr Guys,Positif,0.8
allah bapak gw pake sarung lorenggggg nyangka efek ruu tni bakal muncul secepat,naksirsoonyoung,Sun Mar 30 23:00:33 +0000 2025,"['allah', 'bapak', 'gw', 'pake', 'sarung', 'lorenggggg', 'nyangka', 'efek', 'ruu', 'tni', 'bakal', 'muncul', 'secepat']",allah bapak gw pake sarung lorenggggg nyangka efek ruu tni bakal muncul cepat,"Allah, my father, I use a sarong, I think the effect of the TNI Bill will appear as fast as",Positif,0.2
semalam twitter ku error bisa kerefresh bisa masuk tbtb tweet soal ruu tni hilang ini berulah tni polri,truthofmylaif,Sun Mar 30 23:00:13 +0000 2025,"['semalam', 'twitter', 'ku', 'error', 'bisa', 'kerefresh', 'bisa', 'masuk', 'tbtb', 'tweet', 'soal', 'ruu', 'tni', 'hilang', 'ini', 'berulah', 'tni', 'polri']",malam twitter ku error bisa kerefresh bisa masuk tbtb tweet soal ruu tni hilang ini ulah tni polri,"Last night my Twitter error could be able to enter TBTB Tweet about the missing TNI Bill, acting on the Indonesian National Police",Positif,0.075
nih coba deh tonton buzzer di bayar buat ngomong mendukung ruu tni,Jendra1232,Sun Mar 30 23:00:04 +0000 2025,"['nih', 'coba', 'deh', 'tonton', 'buzzer', 'di', 'bayar', 'buat', 'ngomong', 'mendukung', 'ruu', 'tni']",nih coba deh tonton buzzer di bayar buat ngomong dukung ruu tni,here try to watch the buzzer paid to talk to support the TNI Bill,Netral,0.0
untung dodo temenku ga dukung ruu tni bang,iyysakk,Sun Mar 30 22:54:19 +0000 2025,"['untung', 'dodo', 'temenku', 'ga', 'dukung', 'ruu', 'tni', 'bang']",untung dodo temenku ga dukung ruu tni bang,Luckily Dodo my friend did not support the TNI Bill Bang,Positif,0.3333333333333333
sorry yeeee maafkan diri bila setransparan pembuatan ruu tni banyak salah pendirian danantara acap berkata kasar mengucapkan ndasmuu teriring salam kehangatan dapat memenuhi raga makan bergizi gratis,orleanotes,Sun Mar 30 22:54:13 +0000 2025,"['sorry', 'yeeee', 'maafkan', 'diri', 'bila', 'setransparan', 'pembuatan', 'ruu', 'tni', 'banyak', 'salah', 'pendirian', 'danantara', 'acap', 'berkata', 'kasar', 'mengucapkan', 'ndasmuu', 'teriring', 'salam', 'kehangatan', 'dapat', 'memenuhi', 'raga', 'makan', 'bergizi', 'gratis']",sorry yeeee maaf diri bila transparan buat ruu tni banyak salah diri danantara acap kata kasar ucap ndasmuu iring salam hangat dapat penuh raga makan gizi gratis,Sorry yeeee forgive yourself if the Setransparent making of the TNI Bill has many wrong establishments and between often say rude to say ndasmuu with greetings of warmth can meet the raga of free nutritious eating,Negatif,-0.08
mohon maaf lahir batin kalian semua saya maafkan koruptor hasan nasbi prabowo jokowi jajaran dpr pengesah ruu tni aparat sing senengane ngantemi uwong kemaki lan ora ngayomi indihome pertamina,jawafess,Sun Mar 30 22:53:55 +0000 2025,"['mohon', 'maaf', 'lahir', 'batin', 'kalian', 'semua', 'saya', 'maafkan', 'koruptor', 'hasan', 'nasbi', 'prabowo', 'jokowi', 'jajaran', 'dpr', 'pengesah', 'ruu', 'tni', 'aparat', 'sing', 'senengane', 'ngantemi', 'uwong', 'kemaki', 'lan', 'ora', 'ngayomi', 'indihome', 'pertamina']",mohon maaf lahir batin kalian semua saya maaf koruptor hasan nasbi prabowo jokowi jajar dpr kesah ruu tni aparat sing senengane ngantemi uwong maki lan ora ngayomi indihome pertamina,"Sorry, I all born your physically and mentally, I forgive Corruptor Hasan Nasbi Prabowo Jokowi Parliament of the TNI Bill Sing Senange Ngantemi Uwong Kemaki Lan Ora Ngayomi Indihome Pertamina",Negatif,-0.19999999999999998
this gambaran suatu hari apabila ruu tni beneran ga dibatalkan kalo ada bandel bilang nakut in semoga segera sadar kalo ga sadar ya wallahuallam,zendekieu,Sun Mar 30 22:52:32 +0000 2025,"['this', 'gambaran', 'suatu', 'hari', 'apabila', 'ruu', 'tni', 'beneran', 'ga', 'dibatalkan', 'kalo', 'ada', 'bandel', 'bilang', 'nakut', 'in', 'semoga', 'segera', 'sadar', 'kalo', 'ga', 'sadar', 'ya', 'wallahuallam']",this gambar suatu hari apabila ruu tni beneran ga batal kalo ada bandel bilang nakut in moga segera sadar kalo ga sadar ya wallahuallam,"This is a picture of one day if the TNI Bill is really not canceled if there is a stubborn saying, hopefully hopefully soon if you don't realize it is wallahuallam",Negatif,-0.1
demikianlah peran babinsa sistem hirarki tak dia tolakpadahal andai pak babinsa berpikir ruu tni bukan kepentingan dirinya berpangkat rendahtapi hanya tuk yang pamen pati,APraja85,Sun Mar 30 22:51:59 +0000 2025,"['demikianlah', 'peran', 'babinsa', 'sistem', 'hirarki', 'tak', 'dia', 'tolakpadahal', 'andai', 'pak', 'babinsa', 'berpikir', 'ruu', 'tni', 'bukan', 'kepentingan', 'dirinya', 'berpangkat', 'rendahtapi', 'hanya', 'tuk', 'yang', 'pamen', 'pati']",demikian peran babinsa sistem hirarki tak dia tolakpadahal andai pak babinsa pikir ruu tni bukan penting diri pangkat rendahtapi hanya tuk yang pamen pati,Thus the role of the Babinsa Hierarchy system he did not refuse to be even if Mr. Babinsa thought the TNI Bill was not his interest,Netral,0.0
susunan dprri sekarang fraksi partai politik ada unsur tnipolri semua kebijakan pembuatan uuruu sulit pengaruhi tnipolri luar mekanisme sogokmenyogoksuap di dprri kalo pr nya dprri bukan urusan gwlu,ayooogr,Sun Mar 30 22:44:42 +0000 2025,"['susunan', 'dprri', 'sekarang', 'fraksi', 'partai', 'politik', 'ada', 'unsur', 'tnipolri', 'semua', 'kebijakan', 'pembuatan', 'uuruu', 'sulit', 'pengaruhi', 'tnipolri', 'luar', 'mekanisme', 'sogokmenyogoksuap', 'di', 'dprri', 'kalo', 'pr', 'nya', 'dprri', 'bukan', 'urusan', 'gwlu']",susun dprri sekarang fraksi partai politik ada unsur tnipolri semua bijak buat uuruu sulit pengaruh tnipolri luar mekanisme sogokmenyogoksuap di dprri kalo pr nya dprri bukan urus gwlu,The composition of the DPRRI now there is an element of tnipolri all policies for making uuruu are difficult to influence the tnipolri outside the mechanism of bribesoksokuap in the DPRRI if the DPRRI's homework is not the affair of Gwlu,Negatif,-0.25
makasih,yvenstualy,Sun Mar 30 22:39:28 +0000 2025,['makasih'],makasih,Thanks,Positif,0.2
lebaran tahun sulit sekali rasanya awal bulan dikejutkan sama banjir kemudian ruu tni teror kepala babi tikus terptidakalau tempo setelahnya arogansi polisi tentara massa aksi ihsg jeblok dollar semakin mahal ferry irwandi kalem,bagongsixsixsix,Sun Mar 30 22:39:16 +0000 2025,"['lebaran', 'tahun', 'sulit', 'sekali', 'rasanya', 'awal', 'bulan', 'dikejutkan', 'sama', 'banjir', 'kemudian', 'ruu', 'tni', 'teror', 'kepala', 'babi', 'tikus', 'terptidakalau', 'tempo', 'setelahnya', 'arogansi', 'polisi', 'tentara', 'massa', 'aksi', 'ihsg', 'jeblok', 'dollar', 'semakin', 'mahal', 'ferry', 'irwandi', 'kalem']",lebaran tahun sulit sekali rasa awal bulan kejut sama banjir kemudian ruu tni teror kepala babi tikus terptidakalau tempo telah arogansi polisi tentara massa aksi ihsg jeblok dollar makin mahal ferry irwandi kalem,Eid Years It is very difficult to feel the beginning of the month with the flood and then the TNI Terror Bill the head of a mouse pork is an unwilling time if the arrogance of the police army is the action of the IHSG Dollar.,Negatif,-0.275
nieh fakta seperti pendukung ruu tni di bayar,basotahuacii,Sun Mar 30 22:38:12 +0000 2025,"['nieh', 'fakta', 'seperti', 'pendukung', 'ruu', 'tni', 'di', 'bayar']",nieh fakta seperti dukung ruu tni di bayar,nieh facts like supporters of the TNI Bill in Paid,Netral,0.0
yang bela kalo ruu tni tu baik kalangan parjo,apyukedo,Sun Mar 30 22:30:14 +0000 2025,"['yang', 'bela', 'kalo', 'ruu', 'tni', 'tu', 'baik', 'kalangan', 'parjo']",yang bela kalo ruu tni tu baik kalang parjo,the one who is worth it is good among the parjo,Positif,0.5
pagi dik off dlu mmh mayah mayah,pemjahyat,Sun Mar 30 22:25:15 +0000 2025,"['pagi', 'dik', 'off', 'dlu', 'mmh', 'mayah', 'mayah']",pagi dik off dlu mmh mayah mayah,Morning off off mmh maya maya,Netral,0.0
merdeka pki rusuh pki rusuh peristiwa malari rusuh etnis tionghoa reformasi orba gam kkb ruu tni sibuk banget indonesia selamat idul fitri semuanya minal aidin walfaidzin mohon maaf lahir batin semuanya,Izullll1,Sun Mar 30 22:22:31 +0000 2025,"['merdeka', 'pki', 'rusuh', 'pki', 'rusuh', 'peristiwa', 'malari', 'rusuh', 'etnis', 'tionghoa', 'reformasi', 'orba', 'gam', 'kkb', 'ruu', 'tni', 'sibuk', 'banget', 'indonesia', 'selamat', 'idul', 'fitri', 'semuanya', 'minal', 'aidin', 'walfaidzin', 'mohon', 'maaf', 'lahir', 'batin', 'semuanya']",merdeka pki rusuh pki rusuh peristiwa malar rusuh etnis tionghoa reformasi orba gam kkb ruu tni sibuk banget indonesia selamat idul fitri semua mal aidin walfaidzin mohon maaf lahir batin semua,Merdeka PKI Riot PKI rioted Malari ethnic Chinese ethnic Reform Gam KKB KKB TNI Bill Very Busy Indonesia Congratulations Eid al -Fitr all Minal Aidin Walfaidzin apologize for all physically and mentally,Positif,0.0075
curangg wkwkwk doktrinnya malah lewat masyarakat ga tau menau mengenai ruu tni bahkan aku yakin juga ga tau tu dampaknyaa bakalan kek manaa kdepannya,iyaiaaaaa,Sun Mar 30 22:21:29 +0000 2025,"['curangg', 'wkwkwk', 'doktrinnya', 'malah', 'lewat', 'masyarakat', 'ga', 'tau', 'menau', 'mengenai', 'ruu', 'tni', 'bahkan', 'aku', 'yakin', 'juga', 'ga', 'tau', 'tu', 'dampaknyaa', 'bakalan', 'kek', 'manaa', 'kdepannya']",curangg wkwkwk doktrin malah lewat masyarakat ga tau tau kena ruu tni bahkan aku yakin juga ga tau tu dampaknyaa bakal kek manaa kdepannya,"CURAGANG WKWKWK The doctrine even through the community does not know about the TNI Bill, I even believe that I don't know the impact, it will",Netral,0.0
maksudnya apa mereka mendukung ruu tni,vanessa40589,Sun Mar 30 22:19:59 +0000 2025,"['maksudnya', 'apa', 'mereka', 'mendukung', 'ruu', 'tni']",maksud apa mereka dukung ruu tni,what they mean do they support the TNI Bill,Negatif,-0.3125
yaa semoga urusannya cepat selesai sekarang fokus ruu tni,clubremajabugar,Sun Mar 30 22:19:58 +0000 2025,"['yaa', 'semoga', 'urusannya', 'cepat', 'selesai', 'sekarang', 'fokus', 'ruu', 'tni']",yaa moga urus cepat selesai sekarang fokus ruu tni,"yeah, hopefully the business will be finished quickly now focus on the TNI Bill",Positif,0.3333333333333333
tolak ruu tni ruu polri,mumtazjrsha,Sun Mar 30 22:10:10 +0000 2025,"['tolak', 'ruu', 'tni', 'ruu', 'polri']",tolak ruu tni ruu polri,Reject the TNI Bill of the National Police Bill,Netral,0.0
ruu tni ditolak sembako bertindak itung itung ngabisin dana kaget buat kasih teh aer pencinta bansos semoga tidak kejadian penolakan ruu kejaksaan eid mubarak selamat hari raya idul fitri syawal,_cenk90E,Sun Mar 30 22:02:57 +0000 2025,"['ruu', 'tni', 'ditolak', 'sembako', 'bertindak', 'itung', 'itung', 'ngabisin', 'dana', 'kaget', 'buat', 'kasih', 'teh', 'aer', 'pencinta', 'bansos', 'semoga', 'tidak', 'kejadian', 'penolakan', 'ruu', 'kejaksaan', 'eid', 'mubarak', 'selamat', 'hari', 'raya', 'idul', 'fitri', 'syawal']",ruu tni tolak sembako tindak itung itung ngabisin dana kaget buat kasih teh aer cinta bansos moga tidak jadi tolak ruu jaksa eid mubarak selamat hari raya idul fitri syawal,"The TNI Bill was rejected by the Food Acting Acting Itung to spend the funds shocked to love the tea aer lovers of the social assistance, hopefully the rejection of the Prosecutor's Office Eid Mubarak Happy Eid al -Fitr Syawal",Positif,0.10555555555555557
